Sl.No;Title;Description;Genres;Cast;Director;Production Country;Added to Netflix On;Year;Series;Duration(in Minutes);Season;Rating
74;Keep Sweet: Pray and Obey;Esta docuseries examina el surgimiento de Warren Jeffs en la Iglesia Fundamentalista de Jesucristo de los Santos de los Últimos Días y su impactante caso criminal.;Crime TV Shows, Docuseries;;;United States;June 8, 2022;2022;TV-MA;;1 SEASON;7.6
75;LEGO Ninjago;Mientras luchan contra los enemigos en Ninjago City y más allá, los ninjas se embarcan en nuevas misiones y obtienen aliados nuevos a medida que se prueba el poder de su amistad.;Kids' TV;Michael Adamthwaite, Paul Dobson, Kelly Metzger, Brent Miller, Kirby Morrow, Pauline Newstone, Vincent Tong, Sam Vincent;;Canada, Denmark, United States;June 8, 2022;2022;TV-Y7;;4 SEASONS;8
76;That’s My Time with David Letterman;David Letterman invita a algunas de las estrellas de pie más populares de pie para realizar un set y sentarse para conversar.;Stand-Up Comedy & Talk Shows, TV Comedies;David Letterman, Sam Morril, Naomi Ekperigin, Rosebud Baker, Brian Simpson, Robin Tran, Phil Wang;;United States;June 7, 2022;2022;TV-MA;;1 SEASON;6.8
77;Action Pack;Con corazones, inteligencia y superpoderes, los heroicos niños de la Academia de Acción trabajan juntos para luchar contra los malos, ¡e incluso resaltan lo bueno de ellos!;Kids' TV;Sydney Thomas, Oscar Reyez, Julieta Cortes, Nevin Kar, Giancarlo Sabogal;;United States;June 6, 2022;2022;TV-Y;;2 SEASONS;6.5
78;Bill Burr Presents: Friends Who Kill;En una noche de comedia asesina, Bill Burr presenta un escaparate de sus amigos cómicos más estridentes mientras se riff de todo, desde Covid hasta Michael Jackson.;Stand-Up Comedy;Bill Burr, Michelle Wolf, Jimmy Carr, Steph Tolev, Jeff Ross, Dave Attell, Ian Edwards, Jessica Kirson, Josh Adam Meyers, Ronny Chieng;Ryan Polito;;June 6, 2022;2022;TV-MA;73;;4.3
79;Straight Up;Cuando un cerebro gay con TOC cuestiona su identidad, entra en una relación romántica con una mujer, dejando a la intimidad sexual e física fuera de ella.;Comedies, Independent Movies, LGBTQ Movies;James Sweeney, Katie Findlay, Randall Park, Hillary Anne Matthews, James Scully, Betsy Brandt;James Sweeney;;June 6, 2022;2020;TV-MA;96;;6.9
80;Ammar;Cuando una familia se muda a un viejo castillo, la emoción en su nuevo hogar pronto se transforma en horror después de que la casa parece volverse contra ellos.;Horror Movies, International Movies, Thrillers;Sharif Salamah, Eman Al Assy, Hala El-Said;Mahmoud Kamel;;June 6, 2022;2020;TV-MA;83;;2.2
81;#ABTalks;En este programa de YouTube, el emprendedor y entrevistador de Emirati Anas Bukhash presenta sinceros uno a uno con varias A-listers, lo que lleva a atrevidas revelaciones.;International TV Shows, Stand-Up Comedy & Talk Shows;Anas Bukhash, Balqees Fathi, Yousra, Muhanad Al-Hamdi, Hala Kazim, Mthayel Al Ali, Mona Zaki;;United Arab Emirates;June 3, 2022;2022;TV-PG;;2 SEASONS;
82;As the Crow Flies;Un joven admirador maniobra su camino en una sala de redacción de Anchor experimentada, pero pronto se enfrenta al lado oscuro de la ambición, la envidia y el deseo de ser vistos.;International TV Shows, TV Dramas;Birce Akalay, Miray Daner, ?brahim Çelikkol, Burak Yamantürk, ?rem Sak, Defne Kayalar;Deniz Yorulmazer;;June 3, 2022;2022;TV-MA;;1 SEASON;6.4
83;Change Days;En una escapada romántica, las parejas de la vida real al borde de romperse eligen entre reparar sus relaciones actuales o buscar nuevas llamas.;International TV Shows, Reality TV;Jang Do-youn, Yang Se-chan, Code Kunst, Hur Young-ji;;;June 3, 2022;2022;TV-PG;;1 SEASON;
84;Floor Is Lava;Los equipos compiten para navegar en habitaciones inundadas con lava saltando de sillas, colgando de cortinas y balanceándose de lámparas de araña. Sí, en serio.;Reality TV;Rutledge Wood;;United States;June 3, 2022;2022;TV-PG;;2 SEASONS;5.1
85;Interceptor;El último oficial que se encuentra en una remota base de defensa de misiles sale la batalla de su vida contra los terroristas que apuntaban 16 armas nucleares robadas en los Estados Unidos.;Action & Adventure, International Movies;Elsa Pataky, Luke Bracey, Aaron Glenane, Mayen Mehta, Rhys Muldoon, Belinda Jombwe, Colin Friels, Zoe Carides;Matthew Reilly;;June 3, 2022;2022;TV-MA;99;;4.5
86;Mr. Good: Cop or Crook?;En esta fascinante docuseries, cuando se sospecha que el primer policía de Noruega de tráfico de drogas, los investigadores deben preguntar: ¿es un buen oficial o un criminal importante?;Crime TV Shows, Docuseries, International TV Shows;Eirik Jensen;Trond Kvig Andreassen, Ragne Riise;;June 3, 2022;2022;TV-14;;1 SEASON;7.1
87;Surviving Summer;Expulsado de la escuela y exiliado a Australia, una adolescente rebelde de Nueva York hace olas entre el círculo íntimo de un joven surfista, y deja un desastre a su paso.;International TV Shows, TV Dramas, Teen TV Shows;Sky Katz, Kai Lewins, Lilliana Bowrey, Joao Marinho, Savannah La Rain, Chris Alosio, Dustin Clare, Adrienne Pickering;;Australia, Germany;June 3, 2022;2022;TV-PG;;1 SEASON;6.1
88;The Perfect Mother;Convencida de la inocencia de su hija en un homicidio, una madre devota pronto descubre las verdades inquietantes como la línea entre la víctima y el perpetrador.;Crime TV Shows, International TV Shows, TV Dramas;Julie Gayet, Tomer Sisley, Eden Ducourant, Andreas Pietschmann, Cyril Gueï, Frédérique Tirmont, Sylvain Dieuaide, Maxim Driesen, Emilia Nöth, Halima Ilter;Fred Garson;;June 3, 2022;2022;TV-MA;;1 SEASON;5.7
89;Two Summers;Un círculo cercano de amigos se reúne para unas vacaciones lujosas, décadas después de que uno de ellos fue víctima de una agresión sexual cometida por otros en el grupo.;International TV Shows, TV Dramas, TV Thrillers;An Miller, Marieke Anthoni, Tom Vermeir, Lukas Bulteel, Herwig Ilegems, Bjarne Devolder, Inge Paulussen, Louise Bergez, Kevin Janssens, Tijmen Govaerts;Tom Lenaerts, Brecht Vanhoenacker;;June 3, 2022;2022;TV-MA;;1 SEASON;6.9
90;Bashar Shorts;Ambientada en un saudita de futuro cercano, esta serie distópica cuenta historias de personas que viven en un mundo tecnológicamente inmerso donde chocan la IA y el instinto.;International TV Shows, TV Dramas, TV Sci-Fi & Fantasy;Ibrahim Al-Hasawi, Fakhreia Khameis, Mila Al Zahrani, Fatima Al-Banawi, Aly Al Shareef, Sabry Abdel Moniem, Somaya Reda, Samar Shisha, Mohammad Al Jabarty, Khalid Al-Saqer;Ali Alsamin, Ahmed Anwar;;June 2, 2022;2021;TV-14;;1 SEASON;
91;Borgen - Power & Glory;El extranjero Birgitte Nyborg encuentra su carrera en peligro cuando una disputa sobre el petróleo en Groenlandia amenaza con convertirse en una crisis internacional.;International TV Shows, TV Dramas;Sidse Babett Knudsen, Birgitte Hjort Sørensen, Mikkel Boe Følsgaard, Simon Bennebjerg, Magnus Millang, Özlem Saglanmak, Søren Malling, Svend Hardenberg, Lucas Lynggaard Tønnesen, Jens Albinus;;Denmark;June 2, 2022;2022;TV-MA;;1 SEASON;
92;Heartbeat;Cuando un nuevo médico llega a una aldea y la gente comienza a desaparecer misteriosamente, un joven bailarín debe luchar por sus tradiciones y su vida.;International Movies, Thrillers;Refal Hady, Della Dartyan, Hetty Reksoprodjo, Alyssa Abidin, Hendra Prasetyo, Bintang Satria;Yongki Ongestu;;June 2, 2022;2021;TV-14;103;;5.1
93;Jana 2022 (Kannada);Como el brutal asesinato de un profesor universitario provoca un disturbio estudiantil, un policía inicia una investigación mientras un abogado busca justicia en la sala del tribunal.;Dramas, International Movies;Prithviraj Sukumaran, Suraj Venjaramoodu, Pasupathi Raj, G.M. Sundar, Mamtha Mohandas, Sri Divya, Shari, Priyanka Nair, Vaishnavi Venugopal, Vincy Aloshious;Dijo Jose Antony;;June 2, 2022;2022;TV-14;161;;
94;Jana 2022 (Tamil);Como el brutal asesinato de un profesor universitario provoca un disturbio estudiantil, un policía inicia una investigación mientras un abogado busca justicia en la sala del tribunal.;Dramas, International Movies;Prithviraj Sukumaran, Suraj Venjaramoodu, Pasupathi Raj, G.M. Sundar, Mamtha Mohandas, Sri Divya, Shari, Priyanka Nair, Vaishnavi Venugopal, Vincy Aloshious;Dijo Jose Antony;;June 2, 2022;2022;TV-14;161;;
95;Jana 2022 (Telugu);Como el brutal asesinato de un profesor universitario provoca un disturbio estudiantil, un policía inicia una investigación mientras un abogado busca justicia en la sala del tribunal.;Dramas, International Movies;Prithviraj Sukumaran, Suraj Venjaramoodu, Pasupathi Raj, G.M. Sundar, Mamtha Mohandas, Sri Divya, Shari, Priyanka Nair, Vaishnavi Venugopal, Vincy Aloshious;Dijo Jose Antony;;June 2, 2022;2022;TV-14;161;;
96;Jana Gana Mana;Como el brutal asesinato de un profesor universitario provoca un disturbio estudiantil, un policía inicia una investigación mientras un abogado busca justicia en la sala del tribunal.;Dramas, International Movies;Prithviraj Sukumaran, Suraj Venjaramoodu, Pasupathi Raj, G.M. Sundar, Mamtha Mohandas, Sri Divya, Shari, Priyanka Nair, Vaishnavi Venugopal, Vincy Aloshious;Dijo Jose Antony;;June 2, 2022;2022;TV-14;161;;8.3
97;Plastic Island;Este notable documental sigue a un músico, un biólogo y un abogado que une fuerzas para luchar contra la contaminación plástica en Indonesia.;Documentaries, International Movies;;Dandhy Laksono, Rahung Nasution;Indonesia;June 2, 2022;2021;TV-PG;98;;
98;Story of Dinda: Second Chance of Happiness;Una mujer atrapada en una relación tóxica con un novio posesivo encuentra consuelo mientras confía en otro hombre sobre sus problemas.;Dramas, International Movies, Romantic Movies;Aurélie Moeremans, Abimana Aryasatya, Ardhito Pramono, Cantika Abigail, Ryoichi Adityo Hutomo, Azizah Hanum;Ginanti Rona;;June 2, 2022;2021;TV-PG;60;;5.7
99;The DUFF;Cuando una adolescente inteligente descubre la etiqueta degradante de sus compañeros de clase para ella, solicita la ayuda de la estrella de fútbol de la escuela para un cambio de imagen masivo.;Comedies, Romantic Movies;Mae Whitman, Robbie Amell, Bella Thorne, Bianca A. Santos, Skyler Samuels, Nick Eversman, Ken Jeong, Allison Janney, Romany Malco, Kyle Wilkerson;Ari Sandel;;June 2, 2022;2015;PG-13;101;;6.5
100;Yuri Marçal: Honest Mistake;Desde compartir sus puntos de vista únicos sobre la familia, la raza y la religión hasta el detalle de una grieta en línea que explotó, el comediante brasileño Yuri Marçal no se está conteniendo.;Stand-Up Comedy;Yuri Marçal;Fabio Ock, Riccardo Melchiades;;June 2, 2022;2022;TV-MA;54;;6
101;10,000 B.C.;El feroz cazador gigantesco D'Leh emprende un viaje imposible para rescatar a la mujer que ama de un señor de la guerra vicioso y salvar a la gente de su aldea.;Action & Adventure;Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Affif Ben Badra, Mo Zinal, Nathanael Baring, Mona Hammond, Omar Sharif;Roland Emmerich;;June 2, 2022;2008;PG-13;109;;5.3
102;100 Days with Tata;Durante la pandemia, el actor Miguel Ángel Muñoz documenta sus más de 100 días viviendo en un pequeño piso con su amada Tata, de 95 años, que se convierte en una estrella de Instagram.;Documentaries, International Movies;Luisa Cantero, Miguel Ángel Muñoz;Miguel Ángel Muñoz;;June 2, 2022;2021;TV-14;84;;8
103;Anchorman: The Legend of Ron Burgundy;En la década de 1970, San Diego, un presentador de Hotshot y su equipo de noticias trabajan duro y una fiesta más duro hasta que un nuevo reportero ambicioso sacude la estación con su talento.;Comedies, Cult Movies;Will Ferrell, Christina Applegate, Paul Rudd, Steve Carell, David Koechner, Fred Willard, Chris Parnell, Kathryn Hahn, Fred Armisen, Vince Vaughn;Adam McKay;;June 2, 2022;2004;PG-13;95;;7.2
104;Dear John;Mientras está en licencia de verano, un soldado estadounidense se enamora de un estudiante universitario. Pero cuando se ve obligado a volver a alistarse, sus letras escritas a mano mantienen juntos a los amantes.;Dramas, Romantic Movies;Channing Tatum, Amanda Seyfried, Richard Jenkins, Henry Thomas, D.J. Cotrona, Cullen Moss, Gavin McCulley, Jose Lucena Jr., Keith Robinson, Scott Porter;Lasse Hallström;;June 2, 2022;2010;PG-13;108;;6.2
105;Dinosaur King;Ayudado por tabletas encontradas cerca de un meteorito caído, Max, Rex y Zoe corren a la malvada pandilla alfa mientras viajan por el mundo en busca de dinosaurios vivos.;Anime Series, Kids' TV;Megumi Matsumoto, Matsuri Mizuguchi, Tomoko Kobashi, Asuka Tanii, Seiko Tamura, Veronica Taylor, Sebastian Arcelus, Kether Donohue, Rachael Lillis, Madeleine Blaustein;;Japan;June 1, 2022;2008;TV-Y7;;1 SEASON;5.5
106;Dumb and Dumber;Un tonto de amor y su mejor amigo de la pelea quedan atrapados en un esquema criminal después de intentar devolver un maletín a su atractivo dueño.;Classic Movies, Comedies, Cult Movies;Jim Carrey, Jeff Daniels, Lauren Holly, Mike Starr, Karen Duffy, Charles Rocket, Victoria Rowell, Joe Baker, Hank Brandt, Teri Garr;Peter Farrelly;;June 1, 2022;1994;PG-13;107;;7.4
107;Edge of Seventeen;Un ingenuo joven de 17 años navega por autoexpresión y desamor mientras explora su identidad sexual durante su último año de secundaria.;Comedies, Dramas, Independent Movies;Chris Stafford, Tina Holmes, Andersen Gabrych, Stephanie McVay, Lea DeLaria, John Eby, Antonio Carriero, Jason Lockhart;David Moreton;;June 1, 2022;1998;TV-MA;103;;6.9
108;Eraser;Un mariscal de los Estados Unidos que borra las identidades de aquellos que ha asignado para proteger las balas, los asesinos y los 747 mientras intenta proteger a un testigo del gobierno.;Action & Adventure;Arnold Schwarzenegger, James Caan, Vanessa Williams, James Coburn, Robert Pastorelli, James Cromwell, Danny Nucci, Andy Romano, Nick Chinlund, Michael Papajohn;Chuck Russell;;June 1, 2022;1996;R;114;;5.9
109;Falsa identidad;Los extraños Diego e Isabel huyen de su casa en México y fingen ser una pareja casada para escapar de sus enemigos de tráfico de drogas y su esposo abusivo.;Crime TV Shows, Spanish-Language TV Shows, TV Dramas;Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas;;Mexico;June 1, 2022;2020;TV-MA;;1 SEASON;6.9
110;Half Past Dead;Un autor intelectual criminal planea infiltrarse en una prisión de alta tecnología para persuadir a un hombre en el corredor de la muerte para revelar dónde escondió una fortuna de un atraco sin resolver.;Action & Adventure;Steven Seagal, Morris Chestnut, Ja Rule, Nia Peeples, Tony Plana, Kurupt, Michael Taliferro, Claudia Christian, Linda Thorson, Bruce Weitz;Don Michael Paul;;June 1, 2022;2002;PG-13;99;;4.7
111;His Dark Materials: The Golden Compass;La huérfana precoz Lyra intercambia su existencia despreocupada deambulando por los pasillos de Jordan College por una aventura de otro mundo en el extremo norte.;Action & Adventure, Sci-Fi & Fantasy;Nicole Kidman, Daniel Craig, Dakota Blue Richards, Ben Walker, Freddie Highmore, Ian McKellen, Eva Green, Tom Courtenay, Ian McShane, Sam Elliott;Chris Weitz;;June 1, 2022;2007;PG-13;113;;6
112;Kung Fu Panda 2;Con los puños en alto y el vientre lleno, Po se embarca en un peligroso viaje con los Furiosos Five para enfrentarse a un nuevo enemigo espantoso y salvar el arte de Kung Fu.;Children & Family Movies, Comedies;Jack Black, Angelina Jolie, Dustin Hoffman, Gary Oldman, Seth Rogen, Lucy Liu, Jackie Chan, David Cross, James Hong, Michelle Yeoh;Jennifer Yuh Nelson;;June 1, 2022;2011;PG;93;;7.3
113;Lean on Me;Cuando un director de habla dura se hace cargo de una escuela secundaria en descomposición, está decidido a hacer cualquier cosa en su poder para cambiar la escuela.;Dramas;Morgan Freeman, Beverly Todd, Robert Guillaume, Alan North, Lynne Thigpen, Robin Bartlett, Michael Beach, Ethan Phillips, Sandra Reaves-Phillips, Sloane Shelton;John G. Avildsen;;June 1, 2022;1989;PG-13;109;;7.5
114;Léon: The Professional;Cuando sus vecinos son asesinados por un agente de la DEA, un asesino contratado se convierte en el reacio tutor de una niña que comienza a seguir sus pasos.;Action & Adventure, Classic Movies, Cult Movies;Jean Reno, Natalie Portman, Gary Oldman, Danny Aiello, Peter Appel, Willi One Blood, Don Creech, Keith A. Glascoe, Michael Badalucco;Luc Besson;;June 1, 2022;1994;R;109;;8.6
115;Life as We Know It;Holly y Eric descubren el odio recíproco durante su primera cita, pero deben dejar sus sentimientos a un lado después de convertirse en guardianes del bebé de sus amigos.;Comedies, Dramas, Romantic Movies;Katherine Heigl, Josh Duhamel, Josh Lucas, Alexis Clagett, Brynn Clagett, Brooke Clagett, Hayes MacArthur, Christina Hendricks, Sarah Burns, Jessica St. Clair;Greg Berlanti;;June 1, 2022;2010;PG-13;115;;6.4
116;Mission: Impossible;Después de que su equipo está doble cruzado, un espía se compone para encontrar al topo que los traicionó y evitó que una lista de alto secreto caiga en las manos equivocadas.;Action & Adventure;Tom Cruise, Jon Voight, Emmanuelle Béart, Henry Czerny, Jean Reno, Ving Rhames, Kristin Scott Thomas, Vanessa Redgrave, Karel Dobrý, John McLaughlin;Brian De Palma;;June 1, 2022;1996;PG-13;111;;7
117;Mission: Impossible - Ghost Protocol;El súper agente Ethan Hunt y su equipo se enfrentan a otra misión mortal para demostrar su inocencia cuando están enmarcados por bombardear el Kremlin.;Action & Adventure;Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton, Michael Nyqvist, Vladimir Mashkov, Josh Holloway, Anil Kapoor, Léa Seydoux;Brad Bird;;June 1, 2022;2011;PG-13;134;;7.3
118;Mission: Impossible II;Cuando un ex agente de FMI deshonesto amenaza con desplegar un arma biológica mortal, el agente Ethan Hunt se dirige por todo el mundo para detenerlo.;Action & Adventure;Tom Cruise, Dougray Scott, Thandiwe Newton, Ving Rhames, Richard Roxburgh, John Polson, Brendan Gleeson, Rade Serbedzija, William Mapother, Dominic Purcell;John Woo;;June 1, 2022;2000;PG-13;124;;5.9
